Dataset,Model,Tree_Index,Node,Left_Child,Right_Child,Feature,Threshold,Impurity,Samples,Weighted_Samples,Is_Leaf,Value_0,Value_1,Positive_Probability
ibm,Decision Tree,,0,1,22,num__TotalWorkingYears,2.5,0.9999999999999977,1176,1175.9999999999795,False,0.49999999999999806,0.500000000000007,0.5000000000000044
ibm,Decision Tree,,1,2,17,cat__JobRole_Research Scientist,0.5,0.624651100083253,96,179.67050282908093,False,0.15599888197889725,0.8440011180211017,0.8440011180211026
ibm,Decision Tree,,2,3,16,num__Age,34.5,0.48265334198023724,69,148.57875520444114,False,0.10435590857239425,0.8956440914276057,0.8956440914276057
ibm,Decision Tree,,3,4,7,num__HourlyRate,53.0,0.3889512031891009,60,140.71322728728512,False,0.07628479657387581,0.9237152034261243,0.9237152034261241
ibm,Decision Tree,,4,5,6,num__Age,20.5,0.13525018862942662,22,63.087434610867945,False,0.01890547263681592,0.9810945273631839,0.981094527363184
ibm,Decision Tree,,5,-1,-1,leaf,,0.42935903580119894,6,13.57164513718373,True,0.08788159111933395,0.9121184088806661,0.9121184088806661
ibm,Decision Tree,,6,-1,-1,leaf,,1.6017132519074586e-16,16,49.51578947368421,True,0.0,1.0,1.0
ibm,Decision Tree,,7,8,15,cat__MaritalStatus_Divorced,0.5,0.5376898904740629,38,77.62579267641723,False,0.1229176775028303,0.8770823224971693,0.8770823224971697
ibm,Decision Tree,,8,9,14,num__DistanceFromHome,14.0,0.4293590358011992,33,74.64404825451054,False,0.08788159111933393,0.9121184088806658,0.9121184088806661
ibm,Decision Tree,,9,10,13,num__YearsInCurrentRole,1.5,0.5402289095754168,26,52.980890359773696,False,0.1238151658767772,0.8761848341232223,0.8761848341232228
ibm,Decision Tree,,10,11,12,num__MonthlyRate,19544.0,0.4293590358011992,21,47.500757980143064,False,0.08788159111933393,0.9121184088806659,0.9121184088806661
ibm,Decision Tree,,11,-1,-1,leaf,,0.5953464286909842,15,28.932336927511475,True,0.144282924712519,0.855717075287481,0.855717075287481
ibm,Decision Tree,,12,-1,-1,leaf,,0.0,6,18.568421052631578,True,0.0,1.0,1.0
ibm,Decision Tree,,13,-1,-1,leaf,,0.9878802920829688,5,5.480132379630618,True,0.4352806414662085,0.5647193585337915,0.5647193585337915
ibm,Decision Tree,,14,-1,-1,leaf,,0.0,7,21.66315789473684,True,0.0,1.0,1.0
ibm,Decision Tree,,15,-1,-1,leaf,,8.649251560300252e-15,5,2.9817444219066935,True,1.0,0.0,0.0
